"GID_0","NAME_0","GID_1","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","pop2015","prec_pop1","prec1","tmean_pop1","tmean1","ndvi_pop1","ndvi1","prec_pop2","prec2","tmean_pop2","tmean2","ndvi_pop2","ndvi2","prec_pop3","prec3","tmean_pop3","tmean3","ndvi_pop3","ndvi3","prec_pop4","prec4","tmean_pop4","tmean4","ndvi_pop4","ndvi4","prec_pop5","prec5","tmean_pop5","tmean5","ndvi_pop5","ndvi5","prec_pop6","prec6","tmean_pop6","tmean6","ndvi_pop6","ndvi6","prec_pop7","prec7","tmean_pop7","tmean7","ndvi_pop7","ndvi7","prec_pop8","prec8","tmean_pop8","tmean8","ndvi_pop8","ndvi8","prec_pop9","prec9","tmean_pop9","tmean9","ndvi_pop9","ndvi9","prec_pop10","prec10","tmean_pop10","tmean10","ndvi_pop10","ndvi10","prec_pop11","prec11","tmean_pop11","tmean11","ndvi_pop11","ndvi11","prec_pop12","prec12","tmean_pop12","tmean12","ndvi_pop12","ndvi12","elev","elev_pop","lon","lat","urban_prop","travel_time_unweighted","travel_time_popweighted","frontier_pct","trop_pct","forest_loss","mastomys_occur","mastomys_inf","imp_housing","crop_pct","bush_meat","poverty_pct","malaria_pfpr"
"GHA","Ghana","GHA.9_1","Volta",NA,NA,"Region","Region",NA,"GH.TV",2420493.248,16.02899884,13.65801668,27.36273145,27.44542726,167.4425079,164.3567857,36.62151877,31.77664504,28.57221974,28.72610476,170.499944,166.2670178,92.08227913,85.62279889,28.83786889,29.01516464,176.8463524,174.5927541,124.4944071,120.2984245,28.34307089,28.46901642,189.7169811,188.7167025,158.4641462,155.0176089,27.68066871,27.75663227,202.840356,203.1183022,189.9121543,189.4300278,26.47437437,26.53220364,214.1648933,213.9732438,125.9526801,140.3929564,25.51325766,25.56900086,216.0042814,218.1481118,94.91551483,116.326228,25.16157521,25.21675636,212.5858973,215.3615415,157.1416776,177.7571826,25.90250821,25.96133654,211.9646194,217.1312856,147.0701981,146.0880445,26.57216925,26.66414869,211.4147946,215.7662545,55.3286528,48.30027804,27.38943335,27.47733319,213.8615111,214.6785029,24.59434696,21.98980538,27.14887038,27.17329445,185.7073136,184.5004625,143.7810592,131.3296448,0.391782681,7.269590762,0.00385430121415655,88.46535611201,60.5239732792779,0.510373443983402,1,0.491152318471906,0.581737370007186,0.0928369126544741,0.164403939246341,0.547703354779412,0.308153804599166,21.3,0.286845313570621
"BFA","Burkina Faso","BFA.2_1","Cascades",NA,NA,"R<e9>gion","Region",NA,"BF.CD",696450.9137,1.710354194,2.021428571,26.05988241,26.13842042,110.8553724,113.4850891,5.862207948,6.435714286,27.63927534,27.78851018,105.3697361,107.9822709,26.05976862,27.97755102,28.85632922,28.99862041,108.9285272,112.926959,64.80178392,69.28469388,29.1934918,29.17736738,111.5336074,114.4579352,105.3153996,106.9397959,28.23700265,28.14723676,124.8031051,127.070959,131.8865689,131.5979592,27.19999107,27.0359143,148.3162954,149.5125743,198.2944599,194.5285714,26.59351956,26.2893388,163.3326081,165.5955875,267.7319167,258.5040816,26.28133395,26.0063796,188.396471,191.9462528,191.7820686,194.1571429,26.38966495,26.16927756,193.786546,195.8248623,76.01725016,78.01122449,26.88452053,26.73425713,191.8902143,193.3430424,11.92349784,13.20612245,27.03290576,26.94731028,163.2768983,169.8030392,3.681670234,4.220408163,25.92743802,25.90812657,131.2311104,135.1896315,327.4136036,327.4828314,-4.570418022,10.35171341,0.00028309044173432,135.993258920828,89.241237551394,0.645739910313901,1,0.51523896871497,0.820159099203475,0.0497593898844407,0.146196036064382,0.627793450881612,0.0951649215046523,55.5,0.355047238004558
"GHA","Ghana","GHA.10_1","Western",NA,NA,"Region","Region",NA,"GH.WP",2508865.292,30.15851615,29.15647339,26.63534611,26.59096533,193.4162993,188.6973646,61.59413551,62.81890389,27.67151817,27.60216237,202.9208794,193.6205357,124.5632968,131.4686259,27.73618126,27.72494689,206.3671844,200.2423663,146.4387652,151.8617951,27.6097982,27.58357954,210.1612698,205.1421951,227.9877757,221.4305004,27.13095509,27.11310196,225.9866699,224.0397992,302.5356838,292.3907863,26.00546755,25.95372312,229.1718579,227.6915349,132.3553124,135.5146942,25.138592,25.07003294,236.6045897,234.0566284,67.52734894,70.89753773,24.53886703,24.51243868,231.4810937,229.4512984,128.0398308,136.8800635,25.28650309,25.30181834,234.0678225,230.6253146,190.8845223,193.2351072,26.02517105,26.03939528,235.0125002,233.5864882,113.655336,114.8355838,26.82400327,26.75569303,229.0678107,226.5836827,55.63338461,54.6918189,26.74847612,26.64047547,206.4778348,200.3505549,128.3079725,97.06127706,-2.415960497,5.752798264,0.0033205641500134,161.132403774776,119.375509365158,0.056140350877193,0.998872604284104,0.807831308424306,0.156306262778594,0.124245812455493,0.243446132706557,0.688721176018447,0.496773769893403,23.3,0.356621774416529
"BFA","Burkina Faso","BFA.7_1","Centre",NA,NA,"R<e9>gion","Region",NA,"BF.CT",2374033.964,0,0,24.67743987,24.57502285,71.21727036,83.99988941,1.104730284,1.255681818,27.18304871,27.10552277,68.95647983,80.4953892,5.458824225,5.426136364,30.45859655,30.31356805,68.12623907,77.7787788,22.82431794,22.92045455,32.48986509,32.27568191,65.58396806,75.29816515,62.47587779,62.34659091,32.28852643,31.90211359,68.02248908,78.85968804,103.570609,104.8295455,30.28208304,29.82409102,68.68336318,79.67348724,172.652571,171.7556818,27.96031492,27.49856819,92.7854445,119.0188741,210.4260245,212.1534091,26.76227452,26.34813631,104.5682989,139.1083031,124.2794327,126.0056818,27.40712563,26.93527278,121.1147221,159.9221784,31.24108454,30.43181818,28.95626463,28.51020464,107.0238511,142.6002852,1.098435046,1.0625,27.64687286,27.40129547,86.97538081,111.1557233,0.166428267,0.596590909,24.75421447,24.70472718,74.85188427,92.05737395,307.7733333,306.743961,-1.5022751,12.32254882,0.0474216306640483,29.1292055934964,3.27400484086571,0,1,0.00222816399286988,0.765143666178622,0.0765199132977014,0.255245807801039,0.608252427184466,0.00266146181883024,18.8,0.342551242201417
"BFA","Burkina Faso","BFA.3_1","Centre-Est",NA,NA,"R<e9>gion","Region",NA,"BF.CE",1466237.376,0.309555107,0.205735661,26.31164519,26.46731671,84.2540727,85.32297711,2.058211341,1.973815461,28.41033855,28.59312219,81.86094523,83.14438164,9.270972986,9.652119701,31.2667188,31.36863835,79.53214388,80.83855113,29.41166302,31.37531172,32.17235999,32.15360097,78.11145567,79.52604453,76.37181948,78.5286783,30.82616452,30.75507232,80.49938746,83.09074753,109.9850253,111.6246883,28.78864845,28.63118706,89.79429325,96.82268,173.4098022,173.5910224,26.86324426,26.77515207,111.0542153,118.1736604,231.5661825,231.4588529,25.93757731,25.91779046,139.6750562,147.9187273,151.4165519,155.2668329,26.51695421,26.47084289,166.92069,171.066238,38.24775722,39.70822943,28.19507795,28.09705234,154.4953089,158.7184856,2.610239276,2.819201995,27.97110177,28.02098252,110.9842763,114.5948175,1.473030879,1.501246883,26.22360089,26.37721195,90.25646473,92.23065978,266.5932662,278.6097726,-0.186053861,11.60533712,0.00133981385139469,102.714816823689,69.3848535408178,0.0628571428571429,1,0.00677100164658449,0.779495936571335,0.0838466484403732,0.0960368716174312,0.71973417721519,0.00302847124013087,72.2,0.32144618498287
"GIN","Guinea","GIN.1_1","Bok<e9>",NA,NA,"Region","Region",NA,NA,1231749.159,0.186597977,0.234065934,26.05408923,25.48195873,152.2557818,149.9954194,0.024852298,0.045054945,27.92954995,27.46938328,153.2546719,149.7968629,1.034548106,0.927472527,30.24625407,29.83859361,142.3151958,138.7896719,12.14686026,11.8532967,31.22462863,30.97270991,143.5552779,140.82931,83.43146862,79.45384615,30.31040786,30.21243147,156.7326663,156.1012423,265.1710248,242.4241758,28.28964895,28.06732511,186.2266223,185.9511747,615.4757256,527.0785714,26.74268323,26.43596345,208.3917021,211.3326353,795.7598955,685.2802198,26.19961711,25.90601966,220.5643487,223.0317515,429.1225311,404.2659341,26.69337991,26.41047658,221.5637275,223.0311361,260.0734332,239.0472527,27.61857186,27.2834817,223.7368811,224.5861991,53.25993922,45.09725275,27.63141943,27.11989313,212.5685886,214.2535903,5.72636889,5.136813187,26.01874114,25.35765937,181.7488553,182.4639437,137.6011569,112.9272028,-13.74415361,11.38460373,0.00044289976317165,133.907787181708,89.265387655783,0.690821256038647,0.998416468725257,0.511946465661939,0.222122619268279,0.609659422085238,0.0996968896938459,0.189226924130375,0.185480470104906,57.9,0.237900170204764
"BFA","Burkina Faso","BFA.4_1","Centre-Nord",NA,NA,"R<e9>gion","Region",NA,"BF.CN",1512631.389,0.015320425,0.021359223,24.31164435,24.26529326,76.33580489,75.52190672,0.470780251,0.366019417,26.73461831,26.69566215,74.1933842,73.52194725,2.840834829,2.642718447,30.03199127,29.99667956,71.9753006,71.36334,12.53580172,11.70194175,32.21117332,32.1891998,68.98113979,68.42502535,39.11960202,37.43495146,32.25829354,32.29151459,68.73434149,68.02903739,89.14509488,85.86407767,30.35520999,30.40996883,68.41346032,67.83720794,149.6632827,146.3184466,27.89699771,27.94605435,90.17849057,89.64443351,189.523759,185.6436893,26.52231884,26.56622913,118.3689305,117.3127222,105.0346994,101.7660194,27.41852032,27.49063689,138.6936047,136.2027195,20.82069739,20.34174757,29.06911928,29.12386404,121.7573489,118.5097947,0.906738556,0.842718447,27.71282505,27.72389138,94.03609259,92.00458226,0.817151755,0.742718447,24.78469432,24.77347573,81.51890215,80.27547172,313.1711746,315.7602586,-0.974549856,13.26876865,0,83.3806332698718,71.0018163778857,0.279661016949153,1,0.00046095589299728,0.693762659935551,0.0458479761849833,0.0813328604936633,0.488150282220132,0.00332525239851678,74,0.423425629986489
"GIN","Guinea","GIN.2_1","Conakry",NA,NA,"Region","Region",NA,NA,1568052.25,0.00010723,0.055555556,27.15548388,27.00959518,182.7387503,206.6435054,0.765894973,0.527777778,28.00561129,27.83057102,180.7251134,205.6550595,3.374224491,3.222222222,29.28459095,29.12885253,176.9181695,201.3100468,21.32977849,19.61111111,30.42710669,30.18101936,178.6149627,202.9287798,134.6530128,132.1944444,28.85406823,28.70169089,182.7443958,207.0915901,373.3063985,371.6666667,27.23785382,27.11051279,189.2535356,211.1268135,1012.162995,1005.416667,26.21588859,26.15160174,198.3254045,217.297488,1101.304082,1098.638889,26.06213447,25.97816096,195.8183826,216.586273,576.3843606,572.8055556,26.29534063,26.21259022,205.0107869,223.2932395,298.0457864,294.5555556,27.65663921,27.55963548,205.623591,223.0039938,78.87511792,77.91666667,28.01254714,27.9825725,200.2710447,221.1308179,7.690380465,7.777777778,27.13882092,27.12386873,188.7743027,212.4301424,22.35809524,37.55763272,-13.5620789,9.632872092,0.159376571141277,30.5404582837749,6.70316008217776,0,1,0.16013720888247,0.218371866778894,0.666429362513802,0.446240372563663,0.0121590909090909,0.0121495147468522,0.95,0.243803310394287
"BFA","Burkina Faso","BFA.5_1","Centre-Ouest",NA,NA,"R<e9>gion","Region",NA,"BF.CO",1513550.112,0.374427619,0.354810997,25.25528033,25.48263231,89.51376288,93.11056764,1.628701827,1.797250859,27.74816985,28.00305499,84.76438024,88.11140803,7.762967685,9.169243986,30.45390279,30.58724743,82.10256824,86.20067671,27.05995733,31.29639175,31.6274566,31.56020266,82.01041476,86.83980189,69.15668974,73.26546392,30.51893124,30.31646047,86.47747632,93.21828109,105.6378894,109.0867698,28.2990944,28.06017529,93.34916603,104.898131,171.7746059,173.5231959,26.4975573,26.31397255,127.5242754,141.017478,221.234437,228.8685567,25.73042678,25.59211686,155.7443817,170.5746275,138.5283341,145.7774914,26.28985139,26.10611342,176.9805653,188.72836,35.4518312,38.08247423,27.87264158,27.65593468,160.3899417,173.1654623,2.46289347,2.978522337,27.51956452,27.46892443,125.9370772,136.0731762,1.325666579,1.711340206,25.44755074,25.59048113,100.7706049,106.297323,307.3566795,308.6420033,-2.218592658,11.79233885,0.00111230438784903,89.5832839161584,63.1933122704712,0.16078431372549,1,0.10177654109589,0.767263106468851,0.0906246728714435,0.117655270786877,0.796276141698677,0.00861388458379581,68.1,0.40680772024565
"GIN","Guinea","GIN.3_1","Faranah",NA,NA,"Region","Region",NA,NA,953850.6603,5.303018078,4.071919619,22.60675411,22.65553463,136.016484,135.4647412,9.729684734,7.387096774,24.96612734,25.07232574,130.1338327,127.4142862,34.58633972,27.62771021,27.35668233,27.47791221,135.7507405,133.6561354,87.62299703,73.35325225,27.92844844,28.21512641,149.0211622,146.7986559,159.6272118,145.1898466,27.20329274,27.51727762,176.1619031,174.3409258,229.8532023,218.0047594,25.64813911,25.82031307,196.7125239,196.1898667,282.9027544,279.0602856,24.35094731,24.459101,215.8046145,216.0619929,361.6840186,359.300899,23.9060354,23.94532414,225.3085862,226.8744042,320.1990002,308.4886304,24.54184511,24.59431413,221.2418143,223.4917423,201.5348083,182.7784241,25.1075448,25.15121945,218.2303716,219.4293808,60.24192831,48.37176097,24.40040285,24.43008565,205.8157491,206.8091404,10.04169121,7.340031729,22.53533837,22.56815866,167.2349355,168.9711613,515.593615,517.3168384,-10.65815167,10.49002741,0.00051731536838145,169.822660843589,110.036138627549,0.536817102137767,1,0.428834078061,0.438462785637106,0.620406600955536,0.0959480381396652,0.0713072494111489,0.308374221839144,66,0.379567853742449
