"GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","pop2015","prec_pop1","prec1","tmean_pop1","tmean1","ndvi_pop1","ndvi1","prec_pop2","prec2","tmean_pop2","tmean2","ndvi_pop2","ndvi2","prec_pop3","prec3","tmean_pop3","tmean3","ndvi_pop3","ndvi3","prec_pop4","prec4","tmean_pop4","tmean4","ndvi_pop4","ndvi4","prec_pop5","prec5","tmean_pop5","tmean5","ndvi_pop5","ndvi5","prec_pop6","prec6","tmean_pop6","tmean6","ndvi_pop6","ndvi6","prec_pop7","prec7","tmean_pop7","tmean7","ndvi_pop7","ndvi7","prec_pop8","prec8","tmean_pop8","tmean8","ndvi_pop8","ndvi8","prec_pop9","prec9","tmean_pop9","tmean9","ndvi_pop9","ndvi9","prec_pop10","prec10","tmean_pop10","tmean10","ndvi_pop10","ndvi10","prec_pop11","prec11","tmean_pop11","tmean11","ndvi_pop11","ndvi11","prec_pop12","prec12","tmean_pop12","tmean12","ndvi_pop12","ndvi12","elev","elev_pop","lon","lat","urban_prop","travel_time_popweighted","travel_time_unweighted","frontier_pct","trop_pct","forest_loss","mastomys_occur","mastomys_inf","imp_housing","crop_pct","bush_meat","poverty_pct","malaria_pfpr"
"BEN","Benin","BEN.1_1","Alibori",NA,"BEN.1.1_1","Banikoara",NA,NA,"Commune","Commune",NA,"BJ.AL.BA",24138561.9738235,0.0203613051546219,0.0285714285714286,25.636320044138,25.7088981317014,94.5007724787609,94.5311042082263,1.31170614057717,1.3265306122449,28.0862153435802,28.1621226330193,93.2179826847565,93.287680887657,8.41239207078286,8.11428571428571,30.9542557793013,31.0138122792147,86.8686529543505,87.3125076097141,30.5790833236467,29.8040816326531,32.0388411751922,32.1067427031848,87.2297213214304,88.0175330255984,94.0365749257012,92.1673469387755,30.3138730626126,30.3635101240508,94.6318487666715,96.4814052558886,134.54122946081,133.502040816327,28.1677670022909,28.1986776235152,109.770442117081,113.979788224329,201.504140597693,200.05306122449,26.316630461941,26.3411102839879,155.496135032983,155.859298110296,243.710314645494,242.29387755102,25.7303180466735,25.7405550820487,191.251629483007,194.5204034423,175.65882369608,174.575510204082,26.148545364657,26.1518040170475,200.286153437424,203.221238739631,35.64571930908,34.9387755102041,27.7239098026184,27.6907590982865,187.086255556529,189.75856132613,2.04489713149252,2.06122448979592,27.0871813497486,27.1148408072335,144.492118461868,147.636791147612,1.10324649264179,1.08163265306122,25.4133390124639,25.4853060663963,106.182615477272,107.436302837173,286.272692307692,290.565650805284,2.4161805588016,11.3572051702872,0.00081347497368169,57.3246766197458,74.5260476653749,0.185185185185185,1,0.263940584505101,0.815899683596337,0.091491714298521,0.055823162081089,0.693248407643312,0.0359872478908913,62.5,0.362226137648458
"BEN","Benin","BEN.1_1","Alibori",NA,"BEN.1.2_1","Gogounou",NA,NA,"Commune","Commune",NA,"BJ.AL.GO",13056902.1744385,0.0453755408075578,0.0760869565217391,25.6891896583883,25.7596086902895,98.7309403615863,99.4451639381045,2.01224435724178,2.02173913043478,27.9706394389132,28.0254927718121,95.6148950437295,96.816990496685,11.9687776231614,12.1920289855072,30.3642517243729,30.3681014586186,90.7869784780563,93.1627876413926,39.4971714739313,39.7753623188406,31.1827462650287,31.1583187683769,93.1060254119626,96.4419996777249,111.250350374187,110.967391304348,29.39253224373,29.3761304288671,106.588912598117,110.160954335576,145.00298356153,144.79347826087,27.3737270436882,27.3537101676499,129.220636033697,133.69808635558,206.510110873831,206.692028985507,25.7285151951052,25.7248840401138,151.203456188178,156.423007912016,250.402395074785,250.213768115942,25.2711863014583,25.274333352628,188.621063068536,192.887921445688,188.632155265588,189.242753623188,25.7018196553769,25.7105072615803,201.772633543691,203.943957200129,47.1453407570249,47.3405797101449,27.0054663869894,26.9843333216681,194.63434405483,197.17866749214,2.04334556750162,2.08695652173913,26.6041149914267,26.6097390617149,153.420409547224,156.767427950975,0.995047086905628,0.952898550724638,25.2464589007131,25.3131884906603,113.021544193259,115.414177709357,296.310886075949,301.810052808442,2.71773257139425,10.7820532727226,0.00072043056320718,110.568547293066,130.175185231575,0.327868852459016,1,0.55022726579421,0.882635427033243,0.104239018462553,0.0436895185122929,0.490437030075188,0.130778328964912,62.5,0.256800469431917
"BEN","Benin","BEN.1_1","Alibori",NA,"BEN.1.3_1","Kandi",NA,NA,"Commune","Commune",NA,"BJ.AL.KN",15867144.9772186,0,0,25.4520375037607,25.5431681717976,93.2234760673388,94.9468595407922,1.10017409047984,1.11881188118812,27.9802093853961,28.1117226440128,90.2655830519114,91.6656298234263,7.73069329705613,7.29207920792079,31.1261400467379,31.195208001845,85.5089514933557,86.5767835768787,34.5257910643467,32.6287128712871,32.2406499860698,32.3292871135296,85.0927625397874,86.3405313811543,104.458305687152,100.554455445545,30.3454648781114,30.4477622721455,92.9426860228437,95.1962231973692,141.188792520327,139.386138613861,28.2103084015794,28.2867921602608,106.398868521026,113.500594453349,199.619355160002,199.79702970297,26.326609091132,26.3318613826638,159.964053334169,158.241454141944,254.999562234078,253.950495049505,25.7427229478179,25.7649307439823,186.116347935904,194.277253449105,177.268964890346,175.480198019802,26.1365188957149,26.1545940531362,200.033354373715,202.795215915686,39.088178599261,37.3910891089109,27.5745272296621,27.5639801025391,189.744123029215,191.748501220543,2.11349634716538,2.25247524752475,26.8152365647215,26.9008713146247,148.210059608998,151.40531310128,0.989213704072272,0.925742574257426,25.0618750009969,25.1837623803922,108.542583694723,113.223902155692,272.726279069767,286.106876433331,2.97972165957157,11.2214828706873,0.0007097232079489,44.829929387018,74.8384612335926,0.268292682926829,1,0.313450939501628,0.783885614994245,0.0703257677328383,0.0542084070898238,0.59298828125,0.0530418547489469,62.5,0.221525395555156
"BEN","Benin","BEN.1_1","Alibori",NA,"BEN.1.4_1","Karimama",NA,NA,"Commune","Commune",NA,"BJ.AL.KR",6577176.61578727,0,0,25.751310820379,25.7570551831298,90.8607227744464,90.9188678244266,0.209740229971339,0.242331288343558,28.4371727360559,28.4362943684397,89.1129312944734,89.1699002748505,4.34605686410536,4.43558282208589,31.7060744215336,31.6874109864966,84.1945695990368,84.340961895999,18.2854928647042,18.5858895705521,33.2409508283786,33.2063067266546,82.459265125621,82.6396051560328,63.3487213308672,64.2024539877301,31.8119486024936,31.755828114375,90.3347425884911,90.8453695000508,115.309473265682,115.861963190184,29.5658143397817,29.5002699483392,101.80711391233,103.110700390332,172.333748505764,173.134969325153,27.2215595762235,27.1788711489344,160.980923936344,162.933560127598,214.295477287046,215.773006134969,26.34103620031,26.3068957065512,193.943479185058,196.763445428693,144.146939895461,145.254601226994,26.7716211247011,26.7259509022251,199.482360461917,204.357253329824,22.6749943650379,23.0276073619632,28.509574181207,28.4556073498872,172.778979955338,175.851743889133,1.30063620716975,1.32822085889571,27.8438202487658,27.7963680197125,140.610862237104,142.837678936084,0.0868598789823126,0.101226993865031,25.7393888178642,25.7231289682213,107.9274422571,108.904602897667,234.970795847751,227.880916627585,2.74975518136061,11.956524848709,0,249.894430111073,268.482419950012,0,1,0.017603663190028,0.702184802111314,0.0578519728947051,0.0476291394822326,0.248669036334913,0.00286094907568295,62.5,0.359228730461323
"BEN","Benin","BEN.1_1","Alibori",NA,"BEN.1.5_1","Malanville",NA,NA,"Commune","Commune",NA,"BJ.AL.MA",17020165.1511536,0,0,25.9262510454317,25.8966315821597,92.6903215639578,93.905439375584,0.457803129369941,0.594736842105263,28.7760449330723,28.7325473685014,88.8588778293773,89.0358285741601,3.85264182411537,4.24736842105263,32.131977538926,32.0739155819542,82.4869060855238,83.647051202933,22.3630482760947,23.8157894736842,33.4969575716849,33.4311789663214,79.8747412941327,81.3399756417542,79.1001520078524,81.5263157894737,31.8432893006463,31.6762523550736,83.7271594154626,86.3669303660769,122.948434173181,125.557894736842,29.4975293421618,29.3247789684095,92.3267419473145,100.192664067185,190.487688723613,193.152631578947,27.2007140655308,27.0072842447381,131.82995644352,147.548149588309,237.81328704991,241.568421052632,26.452558700324,26.2542947468005,168.845236296765,189.457550271386,157.847734020305,160.436842105263,26.9807405662017,26.7422314694053,167.519123674146,190.737347748832,25.675349169178,27.0736842105263,28.6412013271702,28.3922526208978,159.265459348971,178.216868026252,1.78526349010673,2.13684210526316,28.100710162642,27.8607999199315,128.8814232905,140.496485078283,0.0842917721641755,0.152631578947368,25.9776741404722,25.8198316373323,103.581658653763,109.024949489504,215.22064516129,198.363282380386,3.27500379015831,11.6653397465651,0.00094726870855699,76.1080412082998,116.216702333026,0.0263157894736842,1,0.199076811132839,0.770311675830321,0.0626332651146434,0.0463300839854548,0.556577464788732,0.0166455896149273,62.5,0.312697276473045
"BEN","Benin","BEN.1_1","Alibori",NA,"BEN.1.6_1","Segbana",NA,NA,"Commune","Commune",NA,"BJ.AL.SE",8389191.53623962,0,0,25.59575582141,25.6516098549696,99.0232127015121,98.2077950574967,1.93538926482052,1.89837398373984,28.1630609602154,28.1533333770628,92.934127877062,93.1976561674949,9.03506574128514,9.74390243902439,30.8904492968836,30.811804903232,91.2385176971298,91.4259270603519,43.0277479839407,42.7642276422764,31.865208732475,31.7649755865578,94.9489423503556,95.0830883510408,103.21666880813,104.841463414634,29.9949050197537,29.8793332789972,108.863080981018,111.786940732811,149.788889845825,148.756097560976,27.7449628564115,27.6443902225029,135.039451367648,141.170302883628,198.970495105402,198.012195121951,26.001895042518,25.904747986212,155.017208235807,159.970068122053,274.017862279804,268.727642276423,25.4608734750383,25.386975683817,196.045711782503,199.339607682493,194.30497954111,192.837398373984,25.861919131612,25.7982439103165,198.809990054852,203.016322781845,45.5851761961215,45.5813008130081,27.1390722160638,27.0491707964641,198.863364104249,201.530491502884,3.82389746395584,3.35365853658537,26.6473489641945,26.582000026858,159.785703130599,162.601899678859,0.0101456180179846,0.0284552845528455,25.1822737753018,25.1898375255306,117.602525161249,119.623496866354,290.552380952381,285.360483508628,3.47277107843,10.9301165069358,0.00125114287089168,130.744778619403,141.635874073021,0.754716981132076,1,0.562239046447567,0.83694201073748,0.112384144877288,0.0422791096184833,0.153688436830835,0.175046727582812,62.5,0.197843086762497
"BEN","Benin","BEN.2_1","Atakora",NA,"BEN.2.1_1","Boukoumbé","Boukombé",NA,"Commune","Commune",NA,"BJ.AK.BO",9963587.18917847,0.959487364000393,0.855421686746988,27.5186084575811,27.3023131956537,91.7162080893632,93.1754910794629,4.02977790304878,3.97590361445783,29.4074391903588,29.2103132914348,93.2029604004506,96.3401226712259,24.7210866992433,25.6144578313253,30.833331490369,30.6228914145964,96.3678066134999,100.566028730646,61.4561879339117,62.5903614457831,30.4452719705178,30.2028432639248,101.295889407989,106.590366261272,105.756489992583,107.650602409639,28.8064760986789,28.5857830737011,110.57033709527,117.005562281472,139.275613866132,139.867469879518,27.0507557275274,26.8481927205281,119.518728629124,127.017320341322,198.601169896545,202.409638554217,25.6790119711921,25.4877590041563,142.051071187584,151.132821235989,240.056031311311,243.819277108434,25.3157162718619,25.1152288367949,196.984278455814,201.095766948201,230.114202423846,231.518072289157,25.7522730825198,25.5549880567803,202.151313869153,204.783155519377,86.5977223623374,86.3855421686747,26.8346909610654,26.5985061231866,199.628677858377,202.620386079126,7.97333580048261,7.91566265060241,27.4370071686761,27.1566746953022,150.675170154021,156.994195217954,3.4562944857795,3.55421686746988,27.1710612976407,26.91339745579,108.44036973703,113.404710306773,294.643571428571,276.19457153246,1.14431012969287,10.2573062153789,0,71.7583839484826,72.1215130277658,0.533333333333333,1,0.290597196441144,0.773902902477666,0.109905992879679,0.0621520881625739,0.44478515625,0.110723107980448,55.9,0.458564512838017
"BEN","Benin","BEN.2_1","Atakora",NA,"BEN.2.2_1","Cobly","Cobli|Cobli",NA,"Commune","Commune",NA,"BJ.AK.CB",7825654.95759583,1,1,27.8828262154778,27.8834665934245,88.1290416594525,87.7829043912195,3.81692146893661,3.73333333333333,29.8641088316055,29.8771999041239,87.454876497173,87.0365441176812,20.7390993631821,20.45,31.5705212847422,31.6163999239604,89.937201456618,88.5529696501106,59.0647770375012,58.8,31.3642864975059,31.4303332646688,89.7832325746015,88.0933506522161,102.059852752499,101.833333333333,29.542603612519,29.6056667009989,101.247307770928,99.2511645850501,144.384973108186,144.933333333333,27.5972053117196,27.6438000361125,124.07980475025,124.969000818638,188.262451382022,187.65,26.1755489256255,26.2258668899536,144.482263124063,146.334544216685,237.558031391958,237.966666666667,25.7925156644781,25.8345999717712,193.687753512754,192.171854416334,226.436792383772,225.966666666667,26.2405069210519,26.282066822052,203.730201906392,202.592864987537,78.0556940401528,77.2166666666667,27.507542525921,27.5480000495911,198.429073072671,198.710218452937,6.94717434651126,6.88333333333333,28.250028975414,28.288533337911,149.804440334494,150.136262631196,2.78139689485667,2.68333333333333,27.6344710008974,27.6446001052856,101.267119447637,101.363320648621,194.309565217391,198.656654333023,0.910482963935241,10.4939579191152,0,49.8621338970137,53.8288662145537,0.636363636363636,1,0.071255453223461,0.727991331617037,0.100603247433901,0.0690601581577645,0.619791666666667,0.0297835198774313,55.9,0.480122119188309
"BEN","Benin","BEN.2_1","Atakora",NA,"BEN.2.3_1","Kérou",NA,NA,"Commune","Commune",NA,"BJ.AK.KE",10134869.23526,0.843313589510831,0.752212389380531,26.0039906517208,26.0563716466448,97.8152124740445,97.1459589518138,2.77001785519732,2.66814159292035,28.2021912926578,28.2407435442494,98.3957435074062,98.5180001536542,14.2779149940997,14.0929203539823,30.3566077491061,30.3816637106701,96.9743417754082,97.8527024443735,39.183701017102,39.3097345132743,30.8612405870494,30.8771858552916,100.225780345701,101.860404805786,103.81856820823,103.044247787611,29.1976228538771,29.2261770467843,111.167668887352,113.014980442518,140.216669679853,139.561946902655,27.1598176326897,27.1859468358808,136.021954559328,137.33136206234,218.760156589398,216.491150442478,25.5675473768339,25.5997876023824,157.280642793671,162.176856485205,251.18425641488,249.765486725664,25.0899903125054,25.1110796379832,198.578241755708,201.344094137964,195.981469854406,195.522123893805,25.5808556044754,25.6056637552987,207.683023247891,209.251401896018,48.2007020913655,48.0353982300885,26.8821360858778,26.8829910734058,200.741277421069,202.177632095454,3.14573656723849,3.15929203539823,26.7405170741901,26.7552389634394,158.040300200762,159.535307292898,2.41735295910987,2.23451327433628,25.6916038392126,25.7504072358123,112.727666408862,112.926718960542,336.610054644809,340.163405377479,2.01660671250291,10.949923395355,0.00097953852851545,135.030841182536,149.461273521922,0.652173913043478,1,0.479092369792687,0.841175939623765,0.145340549781567,0.0527599602937698,0.260995145631068,0.207022703850023,55.9,0.434897998637623
"BEN","Benin","BEN.2_1","Atakora",NA,"BEN.2.4_1","Kouandé",NA,NA,"Commune","Commune",NA,"BJ.AK.KO",12126297.7860565,0.60953971729467,0.646464646464647,26.0673344557302,26.1040405215639,105.144859261237,104.254769009402,3.19117182098992,3.16666666666667,28.0931848743699,28.11676778697,110.163289578076,109.413549850546,23.0153518216331,22.7929292929293,29.6236723976727,29.6535354286733,114.932158147181,114.248784303018,59.2236924704093,58.3030303030303,29.4894977444856,29.5256161545262,125.586020223644,124.520662458104,115.362243156925,114.606060606061,28.0231151829217,28.0405253208045,143.32733030615,140.823384994646,142.348520579669,141.929292929293,26.3044427549888,26.3129293750031,157.997705557417,157.181222410235,224.354673005951,223.979797979798,24.9213284449131,24.9327474651915,175.631312598207,175.018455577589,257.781294037407,257.282828282828,24.4917208589961,24.497818243624,206.331306353296,208.006214999929,216.637921106684,215.737373737374,24.9774644277856,24.987656622222,209.502275486126,210.074264336134,66.766209370091,65.8838383838384,26.0681843526135,26.0703434414334,209.366512640864,209.572882612004,4.70792903084917,4.63131313131313,26.2882278407395,26.2972120612559,166.812216003291,167.25552961397,2.87667064718279,2.82323232323232,25.6985053757745,25.7314950673267,125.972292702727,124.926007292691,420.424102564103,424.662708771618,1.73005265380115,10.4442075734401,0.00064909775412177,122.328628826731,132.005792023692,0.945945945945946,1,0.532077059758721,0.804607102804095,0.224861874967535,0.0516338401607105,0.0756733524355301,0.165363332289012,55.9,0.489177447172903
